,borough,location_i,objectid,shape_area,shape_length,zone,arcs,type_x,type_y,transform_scale,transform_translate,object_type
56,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,28.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
57,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,28.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
58,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,29.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
59,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,29.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
60,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,30.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
61,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,30.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
62,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,31.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
63,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,31.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
64,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,32.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
65,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,32.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
66,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,33.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
67,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,33.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
68,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,34.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
69,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,34.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
70,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,35.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
71,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,35.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
